"animalID","season","date","area","observer","withpup","age","birth_date","precision"
20310,2004,2004-02-03,"AP","P. Morris, R. Condit","0",2004,2004-01-11,6
9904,2004,2004-01-04,"TSC","P. Morris, R. Condit","0",14,NA,NA
13134,2004,2004-01-04,"TSC","P. Morris, R. Condit","0",10,2004-01-17,12
13134,2004,2004-01-17,"TSC","P. Morris, R. Condit","1",10,2004-01-17,12
16672,2004,2004-01-04,"BBS","P. Morris, R. Condit","0",4,NA,NA
13134,2004,2004-01-05,"TSC","P. Morris, R. Condit","0",10,2004-01-17,12
18125,2004,2004-01-05,"TSC","P. Morris, R. Condit","0",2004,NA,NA
18125,2004,2004-01-13,"TSC","P. Morris, R. Condit","0",2004,NA,NA
19670,2004,2004-01-05,"TSC","P. Morris, R. Condit","0",9,2004-01-13,7
19670,2004,2004-01-06,"TSC","P. Morris, R. Condit","0",9,2004-01-13,7
19670,2004,2004-01-13,"TSC","P. Morris, R. Condit","1",9,2004-01-13,7
16563,2004,2004-01-05,"AP","P. Morris, R. Condit","0",4,NA,NA
16563,2004,2004-01-06,"APG","P. Morris, R. Condit","0",4,NA,NA
16563,2004,2004-01-07,"AP","P. Morris, R. Condit","0",4,NA,NA
16335,2004,2004-01-05,"APG","P. Morris, R. Condit","0",4,2004-01-07,2
16335,2004,2004-01-07,"APG","P. Morris, R. Condit","1",4,2004-01-07,2
16335,2004,2004-01-08,"APG","P. Morris, R. Condit","1",4,2004-01-07,2
16335,2004,2004-01-09,"BBS","P. Morris, R. Condit","1",4,2004-01-07,2
16335,2004,2004-01-11,"BBS","P. Morris, R. Condit","1",4,2004-01-07,2
16335,2004,2004-01-12,"APG","P. Morris, R. Condit","1",4,2004-01-07,2
16335,2004,2004-01-13,"BBS","P. Morris, R. Condit","2",4,2004-01-07,2
16335,2004,2004-01-16,"BBS","P. Morris, R. Condit","1",4,2004-01-07,2
16335,2004,2004-01-17,"APG","P. Morris, R. Condit","2",4,2004-01-07,2
16335,2004,2004-01-17,"APG","P. Morris, R. Condit","1",4,2004-01-07,2
16335,2004,2004-01-18,"BBS","P. Morris, R. Condit","1",4,2004-01-07,2
16335,2004,2004-01-21,"BBS","P. Morris, R. Condit","2",4,2004-01-07,2
16335,2004,2004-01-23,"BBS","P. Morris, R. Condit","2",4,2004-01-07,2
16335,2004,2004-01-23,"BBS","P. Morris, R. Condit","2",4,2004-01-07,2
16335,2004,2004-01-25,"BBS","P. Morris, R. Condit","2",4,2004-01-07,2
16335,2004,2004-01-27,"APG","P. Morris, R. Condit","2",4,2004-01-07,2
16335,2004,2004-01-29,"BBS","P. Morris, R. Condit","2",4,2004-01-07,2
13667,2004,2004-01-05,"TSC","P. Morris, R. Condit","0",9,2004-01-13,5
13667,2004,2004-01-08,"TSC","P. Morris, R. Condit","0",9,2004-01-13,5
13667,2004,2004-01-13,"TSC","P. Morris, R. Condit","2",9,2004-01-13,5
16029,2004,2004-01-05,"TSC","P. Morris, R. Condit","0",5,2004-01-11,1
16029,2004,2004-01-07,"TSC","P. Morris, R. Condit","0",5,2004-01-11,1
16029,2004,2004-01-08,"TSC","P. Morris, R. Condit","0",5,2004-01-11,1
16029,2004,2004-01-10,"TSC","P. Morris, R. Condit","0",5,2004-01-11,1
16029,2004,2004-01-11,"TSC","P. Morris, R. Condit","1",5,2004-01-11,1
16029,2004,2004-01-12,"TSC","P. Morris, R. Condit","1",5,2004-01-11,1
16029,2004,2004-01-21,"TSC","P. Morris, R. Condit","1",5,2004-01-11,1
16029,2004,2004-01-29,"TSE","P. Morris, R. Condit","1",5,2004-01-11,1
16029,2004,2004-01-31,"TSE","P. Morris, R. Condit","1",5,2004-01-11,1
13238,2004,2004-01-05,"TSC","P. Morris, R. Condit","2",9,2004-01-05,NA
13238,2004,2004-01-07,"TSC","P. Morris, R. Condit","2",9,2004-01-05,NA
13238,2004,2004-01-08,"TSC","P. Morris, R. Condit","2",9,2004-01-05,NA
13238,2004,2004-01-10,"TSC","P. Morris, R. Condit","2",9,2004-01-05,NA
13238,2004,2004-01-19,"TSC","P. Morris, R. Condit","1",9,2004-01-05,NA
19601,2004,2004-01-05,"BMS","P. Morris, R. Condit","0",12,2004-02-03,25
19601,2004,2004-01-06,"APG","P. Morris, R. Condit","0",12,2004-02-03,25
19601,2004,2004-01-07,"BBS","P. Morris, R. Condit","0",12,2004-02-03,25
19601,2004,2004-01-08,"APG","P. Morris, R. Condit","0",12,2004-02-03,25
19601,2004,2004-01-09,"BBS","P. Morris, R. Condit","0",12,2004-02-03,25
19601,2004,2004-02-03,"BBS","P. Morris, R. Condit","1",12,2004-02-03,25
14717,2004,2004-01-06,"MBB","P. Morris, R. Condit","0",8,2004-01-13,4
14717,2004,2004-01-06,"MBB","P. Morris, R. Condit","0",8,2004-01-13,4
14717,2004,2004-01-09,"BBN","P. Morris, R. Condit","0",8,2004-01-13,4
14717,2004,2004-01-13,"BBN","P. Morris, R. Condit","1",8,2004-01-13,4
14717,2004,2004-01-16,"BBN","P. Morris, R. Condit","1",8,2004-01-13,4
14717,2004,2004-01-17,"BBN","P. Morris, R. Condit","1",8,2004-01-13,4
14717,2004,2004-01-23,"BBN","P. Morris, R. Condit","1",8,2004-01-13,4
14717,2004,2004-01-29,"BBN","P. Morris, R. Condit","1",8,2004-01-13,4
14717,2004,2004-01-30,"BBN","P. Morris, R. Condit","1",8,2004-01-13,4
14717,2004,2004-02-01,"BBN","P. Morris, R. Condit","1",8,2004-01-13,4
14717,2004,2004-02-03,"BBN","P. Morris, R. Condit","1",8,2004-01-13,4
14717,2004,2004-02-04,"BBN","P. Morris, R. Condit","1",8,2004-01-13,4
14717,2004,2004-02-05,"BBN","P. Morris, R. Condit","1",8,2004-01-13,4
16601,2004,2004-01-06,"BBN","P. Morris, R. Condit","0",4,2004-01-11,2
16601,2004,2004-01-06,"BBN","P. Morris, R. Condit","0",4,2004-01-11,2
16601,2004,2004-01-08,"BBN","P. Morris, R. Condit","0",4,2004-01-11,2
16601,2004,2004-01-09,"BBN","P. Morris, R. Condit","0",4,2004-01-11,2
16601,2004,2004-01-11,"BBN","P. Morris, R. Condit","1",4,2004-01-11,2
16601,2004,2004-01-13,"BBN","P. Morris, R. Condit","1",4,2004-01-11,2
16601,2004,2004-01-16,"MBB","P. Morris, R. Condit","1",4,2004-01-11,2
16601,2004,2004-01-17,"BBN","P. Morris, R. Condit","1",4,2004-01-11,2
16601,2004,2004-01-19,"BBN","P. Morris, R. Condit","1",4,2004-01-11,2
16601,2004,2004-01-20,"BBN","P. Morris, R. Condit","1",4,2004-01-11,2
16601,2004,2004-01-21,"BBN","P. Morris, R. Condit","1",4,2004-01-11,2
16601,2004,2004-01-23,"BBN","P. Morris, R. Condit","1",4,2004-01-11,2
16601,2004,2004-01-26,"BBN","P. Morris, R. Condit","2",4,2004-01-11,2
16601,2004,2004-01-28,"BBN","P. Morris, R. Condit","2",4,2004-01-11,2
