YY,MM,DD,hh,WD,WSPD GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
1999,1,6,1,283,3.3  4.0,1.23,12.5,9.37,274,1022.2,11.4,11.1,999,99
1999,1,6,2,333,3.2  3.7,1.26,12.5,9.35,274,1022.6,11.4,11,999,99
1999,1,6,3,343,5.7  6.8,1.33,12.5,10.26,281,1022.6,11.7,11,999,99
1999,1,6,4,335,6.0  7.0,1.3,12.5,6.56,278,1022.7,11.4,11,999,99
1999,1,6,5,329,6.0  7.2,1.51,12.5,6.27,254,1022.7,11.3,11,999,99
1999,1,6,6,329,6.6  8.2,1.41,12.5,5.94,287,1022.7,11,11,999,99
1999,1,6,7,334,6.5  7.8,1.38,12.5,5.76,282,1022.9,11.3,11,999,99
1999,1,6,8,322,6.0  7.2,1.4,12.5,6.46,288,1023.4,11,11,999,99
1999,1,6,9,327,6.6  8.6,1.49,12.5,6.09,279,1022.8,10.9,11,999,99
1999,1,6,10,334,6.0  7.0,1.64,12.5,6.62,271,1022.6,10.6,11,999,99
1999,1,6,11,348,5.0  6.0,1.64,12.5,7.07,277,1022.6,10.6,11,999,99
1999,1,6,12,334,6.2  7.3,1.54,12.5,7.03,263,1022.4,10.5,11,999,99
1999,1,6,13,325,7.2  8.6,1.48,11.11,6.06,278,1022.1,10.2,11,999,99
1999,1,6,14,339,7.4  8.9,1.55,12.5,6.29,280,1022,9.5,10.9,999,99
1999,1,6,15,344,6.4  8.0,1.5,11.11,5.98,284,1022.1,9.2,11,999,99
1999,1,6,16,2,5.3  6.1,1.52,12.5,6.09,256,1022,9,11.3,999,99
1999,1,6,17,344,4.8  5.3,1.35,11.11,5.64,270,1022.1,9.7,11.3,999,99
1999,1,6,18,336,3.2  3.7,1.36,12.5,5.94,274,1022.5,10,11.3,999,99
1999,1,6,19,306,6.7  7.6,1.33,12.5,6.1,274,1022.9,10.2,11.4,999,99
1999,1,6,20,320,7.7  9.2,1.38,11.11,5.89,280,1022.2,10.2,11.4,999,99
1999,1,6,21,325,7.7  9.5,1.59,11.11,5.55,276,1021.3,9.7,11.4,999,99
1999,1,6,22,323,7.7  9.2,1.58,11.11,5.5,274,1021,9.9,11.4,999,99
1999,1,6,23,310,7.9  9.0,1.6,12.5,5.54,244,1020.6,10.2,11.4,999,99
1999,1,7,0,301,8.3  9.5,1.71,11.11,5.71,265,1020.4,10.5,11.5,999,99
1999,1,7,1,311,8.5  9.8,1.54,11.11,5.43,274,1019.8,10.5,11.4,999,99
1999,1,7,2,316,9.2 10.9,1.62,11.11,5.39,277,1020.3,10.5,11.4,999,99
1999,1,7,3,317,9.6 11.1,1.67,11.11,5.45,282,1020.7,10.5,11.4,999,99
1999,1,7,4,317,9.6 11.6,1.72,11.11,5.32,292,1021.1,10.6,11.4,999,99
1999,1,7,5,320,9.9 11.6,1.56,11.11,5.12,287,1021.1,10.6,11.4,999,99
1999,1,7,6,321,9.3 11.1,1.58,11.11,5.29,278,1021.4,10.9,11.4,999,99
1999,1,7,7,320,8.7 10.7,1.63,11.11,5.24,271,1021.7,11,11.4,999,99
1999,1,7,8,324,8.6 10.3,1.48,11.11,5.25,270,1021.4,11,11.4,999,99
1999,1,7,9,325,7.6  9.0,1.43,10,5.27,280,1021.1,10.9,11.3,999,99
1999,1,7,10,329,7.0  8.3,1.43,11.11,5.24,271,1021.2,10.8,11.3,999,99
1999,1,7,11,326,7.9  9.0,1.48,11.11,5.56,261,1021.2,10.9,11.3,999,99
